Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts (10)
10,52,10,65133727979072863329109269850372052374211788800
11,50,11,311227225094574405771671443266936141661392076800
12,48,12,882113714748193979482275472642438708909930905600
13,46,13,1945309402569859899890239096980307305904093593600
14,44,14,3700700947789102326137426551739002117444297113600
15,42,15,6392592082921012765100166786728711265993553920000
16,40,16,10317952803764201158765348938410840751252602880000
17,38,17,15825906865624571704739078278896953936924835840000
18,36,18,23306014034014150967840380201073758823366000640000
19,34,19,33168201755839552042263526505556082112378634240000
20,32,20,45825730551852122480634522488839395509305344000000
21,30,21,61698299179685907147023179076407411024244736000000
22,28,22,81242005494795596174064640577862249231261696000000
23,26,23,104981069873783981018052723249002600494018560000000
24,24,24,133483915345501186185539634759823508148879360000000
25,22,25,167188200839831640077739967898964586844160000000000
26,20,26,205906839291703381275740570901536462192640000000000
27,18,27,247714855815366621867855458524421379133440000000000
28,16,28,286768084209795867372756386844659464765440000000000
29,14,29,309800544661299031281609741700472787701760000000000
30,12,30,293090115395850361260948142406401365504000000000000
31,10,31,209740326778807348972273169749323190272000000000000
32,8,32,72953157140454730077312406869329805312000000000000
