B3,B2,B1,B0,Number Ways Achieve Max Districts (10)
0,30,12,6,289528624194865735680000000
0,31,10,7,475967510987014126080000000
0,32,8,8,135990717424861178880000000
1,28,13,6,129788693604594984960000000
1,29,11,7,373974472918368241920000000
1,30,9,8,405778753606440614400000000
1,31,7,9,114742167827226619680000000
2,26,14,6,64894346802297492480000000
2,27,12,7,236757397124865576960000000
2,28,10,8,416972650257652769280000000
2,29,8,9,384941466259082853120000000
2,30,6,10,111040807574735438400000000
3,24,15,6,35941484382810918912000000
3,25,13,7,147616810857973416960000000
3,26,11,8,324026031080153001600000000
3,27,9,9,465396517947715466112000000
3,28,7,10,405873296652481257600000000
3,29,5,11,122144888332208982240000000
4,22,16,6,21877425276493602816000000
4,23,14,7,95544445984305692774400000
4,24,12,8,234246649658135943628800000
4,25,10,9,411986595460309309440000000
4,26,8,10,541953154663609328640000000
4,27,6,11,474138778353599399040000000
4,28,4,12,151628137239983564160000000
5,20,17,6,14490242715599659008000000
5,21,15,7,65321516947712433408000000
5,22,13,8,169319830639597013376000000
5,23,11,9,328698369194173026048000000
5,24,9,10,519561205622897518080000000
5,25,7,11,667467567546052553280000000
5,26,5,12,611326140618346433280000000
5,27,3,13,211196334012834250080000000
6,18,18,6,10295698771610284032000000
6,19,16,7,47306380630340063232000000
6,20,14,8,126021605382269460864000000
6,21,12,9,256252261753740155904000000
6,22,10,10,440547548270329019520000000
6,23,8,11,665807495551036046208000000
6,24,6,12,871729106795731312128000000
6,25,4,13,866446498514191795200000000
6,26,2,14,328527630686631055680000000
7,16,19,6,7671304967082172416000000
7,17,17,7,36034945700635994112000000
7,18,15,8,97574667249204040896000000
7,19,13,9,202385273281731597657600000
7,20,11,10,359997089864829056640000000
7,21,9,11,581220873903308550912000000
7,22,7,12,873046002440072837376000000
7,23,5,13,1203197348283943652640000000
7,24,3,14,1344436150194520935552000000
7,25,1,15,568605514649938365600000000
8,14,20,6,5753478725311629312000000
8,15,18,7,28338406177741051392000000
8,16,16,8,78425865763080675840000000
8,17,14,9,164419954157407044096000000
8,18,12,10,295257675167193682944000000
8,19,10,11,485613684220969624320000000
8,20,8,12,762130579813420866048000000
8,21,6,13,1167822998860360018176000000
8,22,4,14,1740192913421662578278400000
8,23,2,15,2274422058599753462400000000
8,24,0,16,1091722588127881661952000000
9,12,21,6,3983177579061897216000000
9,13,19,7,22130344954145088460800000
9,14,17,8,64471766646046849689600000
9,15,15,9,137693142372250312848000000
9,16,13,10,247807791238312521216000000
9,17,11,11,405934226242371066240000000
9,18,9,12,636433614715060850688000000
9,19,7,13,990749036498662567526400000
9,20,5,14,1575277360599062824704000000
9,21,3,15,2597515848268034645952000000
9,22,1,16,4177025554576242880512000000
10,10,22,6,1991588789530948608000000
10,11,20,7,15743035193435117568000000
10,12,18,8,52341598857691503360000000
10,13,16,9,117646998108134406912000000
10,14,14,10,214239059497863560160000000
10,15,12,11,347559662088600945984000000
10,16,10,12,533372225209222823424000000
10,17,8,13,809233885775235368448000000
10,18,6,14,1260672445465059699072000000
10,19,4,15,2095653255348999265920000000
10,20,2,16,3893050283205504605184000000
10,21,0,17,8289324473492729931264000000
11,9,21,7,7966355158123794432000000
11,10,19,8,38717434444095703296000000
11,11,17,9,99640584746401450752000000
11,12,15,10,189922799080617482880000000
11,13,13,11,308379479088180964464000000
11,14,11,12,461273569078606187904000000
11,15,9,13,670054242861016165152000000
11,16,7,14,985937804542178167680000000
11,17,5,15,1530887373633370072320000000
11,18,3,16,2639370513402990791424000000
11,19,1,17,5533202682685412646912000000
12,8,20,8,20627169605856253440000000
12,9,18,9,77945993429665013452800000
12,10,16,10,169104474044295229440000000
12,11,14,11,284167258709637663360000000
12,12,12,12,418816783028435343552000000
12,13,10,13,580875459570932093568000000
12,14,8,14,795876432715747666483200000
12,15,6,15,1121414184107639341920000000
12,16,4,16,1692849149834970935808000000
12,17,2,17,2891988244239817282560000000
12,18,0,18,6334060965705669740544000000
13,7,19,9,45216178339458001075200000
13,8,17,10,142560820595973491712000000
13,9,15,11,268792312413107875392000000
13,10,13,12,402946606535088680064000000
13,11,11,13,539294643705661539696000000
13,12,9,14,687351225848298518707200000
13,13,7,15,870951999896163096912000000
13,14,5,16,1133044120257520318848000000
13,15,3,17,1547291036557185663744000000
13,16,1,18,2171310959846365489152000000
14,6,18,10,93001955447964955392000000
14,7,16,11,249234285834552066048000000
14,8,14,12,409945824097187707929600000
14,9,12,13,545040799903616784768000000
14,10,10,14,652754779712733585888000000
14,11,8,15,744862423739681991744000000
14,12,6,16,834124160330623274112000000
14,13,4,17,916930390379565597235200000
14,14,2,18,896361703936576522444800000
15,5,17,11,189240242678917702272000000
15,6,15,12,427581550071555751872000000
15,7,13,13,604762365520934580960000000
15,8,11,14,697824160264852612992000000
15,9,9,15,723765330027431611920000000
15,10,7,16,701100013815400110912000000
15,11,5,17,627469847562439994112000000
15,12,3,18,449679784583566817280000000
16,4,16,12,393249380243668236288000000
16,5,14,13,727864043477910603264000000
16,6,12,14,857435641538124160512000000
16,7,10,15,824090084527365976320000000
16,8,8,16,696099180456964956672000000
16,9,6,17,512362421222488252416000000
16,10,4,18,277983866833477668864000000
17,3,15,13,852517924939678757760000000
17,4,13,14,1226697901246536400281600000
17,5,11,15,1139515935603132447360000000
17,6,9,16,848627297173831279104000000
17,7,7,17,516929875824599677440000000
17,8,5,18,216209674203815964672000000
18,2,14,14,1958355461861433489254400000
18,3,12,15,2006428372165724322816000000
18,4,10,16,1340636246665047940608000000
18,5,8,17,674919824831809869312000000
18,6,6,18,218415895369161025536000000
19,1,13,15,4826295354658507906176000000
19,2,11,16,3017494110042902730240000000
19,3,9,17,1228203322747595382988800000
19,4,7,18,301811055419204326195200000
20,0,12,16,12897244488318204478464000000
20,1,10,17,3625924485244607529984000000
20,2,8,18,628773032123342346240000000
21,0,9,18,2640846734918037854208000000
