B3,B2,B1,B0,Number Ways Achieve Max Districts (8)
0,24,10,14,16622953150003200000
0,25,8,15,27704921916672000000
0,26,6,16,7503416352432000000
1,22,11,14,7950108028262400000
1,23,9,15,37401644587507200000
1,24,7,16,52523914467024000000
1,25,5,17,14718239768232000000
2,20,12,14,4336422560870400000
2,21,10,15,27956784843187200000
2,22,8,16,82126021254076800000
2,23,6,17,107933758300368000000
2,24,4,18,31791397899381120000
3,18,13,14,2670323366430720000
3,19,11,15,19784927933971200000
3,20,9,16,75665645934278400000
3,21,7,17,182598283322254800000
3,22,5,18,240163277609455200000
3,23,3,19,75504570011030160000
4,16,14,14,1832574859315200000
4,17,12,15,14515603940597760000
4,18,10,16,62176700409183360000
4,19,8,17,187307538299481600000
4,20,6,18,416320911289483200000
4,21,4,19,577774100953969920000
4,22,2,20,196968443507035200000
5,14,15,14,1374431144486400000
5,15,13,15,11306332390953600000
5,16,11,16,50869475530473600000
5,17,9,17,167155970660078400000
5,18,7,18,445178406617904960000
5,19,5,19,974240597127077280000
5,20,3,20,1499859273285172800000
5,21,1,21,564045997315600800000
6,12,16,14,1087462004428800000
6,13,14,15,9326497051872000000
6,14,12,16,43036875211730400000
6,15,10,17,145593377476747200000
6,16,8,18,410510216827751040000
6,17,6,19,1028328757010755200000
6,18,4,20,2320493804606577600000
6,19,2,21,4190055980058748800000
6,20,0,22,1772715991563316800000
7,10,17,14,840311548876800000
7,11,15,15,7935074313566400000
7,12,13,16,37917685584979200000
7,13,11,17,129528781417035000000
7,14,9,18,367004172435460560000
7,15,7,19,938752405594223220000
7,16,5,20,2291023202336668800000
7,17,3,21,5511896439654805200000
7,18,1,22,12548963203435058400000
8,8,18,14,504186929326080000
8,9,16,15,6475341935462400000
8,10,14,16,34168550480064000000
8,11,12,17,119522646833990400000
8,12,10,18,335053356991214400000
8,13,8,19,835367456575491840000
8,14,6,20,1988117310799620000000
8,15,4,21,4792252024435075200000
8,16,2,22,12499873544913955200000
8,17,0,23,40057161353220211200000
9,7,17,15,4033495434608640000
9,8,15,16,29632103868407040000
9,9,13,17,113652136985587200000
9,10,11,18,320312218578105600000
9,11,9,19,768847293602166240000
9,12,7,20,1715093549820493920000
9,13,5,21,3795706085753902320000
9,14,3,22,8892667867275672480000
9,15,1,23,24362496243187502400000
10,6,16,16,20204549741376000000
10,7,14,17,106842112141564800000
10,8,12,18,323387435650245120000
10,9,10,19,759102709604722560000
10,10,8,20,1572538521272644800000
10,11,6,21,3102654905082532800000
10,12,4,22,6166087976846397600000
10,13,2,23,12951254479539055680000
10,14,0,24,27871705546610365440000
11,5,15,17,83624128981192800000
11,6,13,18,337938041884322880000
11,7,11,19,823242720540240000000
11,8,9,20,1605291322041792000000
11,9,7,21,2807763541676893800000
11,10,5,22,4667399231021881200000
11,11,3,23,7498094698680505920000
11,12,1,24,10253804716144281600000
12,4,14,18,319244861312657280000
12,5,12,19,984417361300074240000
12,6,10,20,1896676662017491200000
12,7,8,21,2968304934035548800000
12,8,6,22,4121350074376365600000
12,9,4,23,5107482273382473600000
12,10,2,24,4754036732030530560000
13,3,13,19,1192525883754004800000
13,4,11,20,2682987228274953600000
13,5,9,21,3873731201378438400000
13,6,7,22,4498564110685444800000
13,7,5,23,4312877141496924000000
13,8,3,24,2827564330815544320000
14,2,12,20,4524541992089159040000
14,3,10,21,6727838873244128640000
14,4,8,22,6528863602364463360000
14,5,6,23,4775722493267325600000
14,6,4,24,2221657688497927680000
15,1,11,21,17905529171750220000000
15,2,9,22,14373817900632590400000
15,3,7,23,7540171548841451520000
15,4,5,24,2423626569270466560000
16,0,10,22,75474892619129203200000
16,1,8,23,20062242156738862080000
16,2,6,24,4039377615450777600000
17,0,7,24,13733883892532643840000
