Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
7,35,30,28837919555681211870935040
8,33,31,420694355871114149646581760
9,31,32,3556779554183055992466554880
10,29,33,22798919931079734561492172800
11,27,34,122448931725196932927444172800
12,25,35,577778299851225694956134400000
13,23,36,2454604159698051840766070784000
14,21,37,9521442273208904352420986880000
15,19,38,34102504432168585850959441920000
16,17,39,114240243761888198278599475200000
17,15,40,362130481439383463475366297600000
18,13,41,1091382522929106670933416345600000
19,11,42,3090501471179056871056645324800000
20,9,43,7794226584205246067767492608000000
21,7,44,14289415404376284457573736448000000
