Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
5,67,0,False
6,65,1,False
7,63,2,False
8,61,3,False
9,59,4,False
10,57,5,False
11,55,6,True
12,53,7,True
13,51,8,True
14,49,9,True
15,47,10,True
16,45,11,True
17,43,12,True
18,41,13,True
19,39,14,True
20,37,15,True
21,35,16,True
22,33,17,True
23,31,18,True
24,29,19,True
25,27,20,True
26,25,21,True
27,23,22,True
28,21,23,True
29,19,24,True
30,17,25,True
31,15,26,True
32,13,27,True
33,11,28,True
34,9,29,False
35,7,30,False
36,5,31,False
37,3,32,False
38,1,33,False
