B3,B2,B1,B0,Max Districts (10) Achievable?
0,24,24,0,False
0,25,22,1,False
0,26,20,2,False
0,27,18,3,False
0,28,16,4,False
0,29,14,5,False
0,30,12,6,True
0,31,10,7,True
0,32,8,8,True
0,33,6,9,False
0,34,4,10,False
0,35,2,11,False
0,36,0,12,False
1,22,25,0,False
1,23,23,1,False
1,24,21,2,False
1,25,19,3,False
1,26,17,4,False
1,27,15,5,False
1,28,13,6,True
1,29,11,7,True
1,30,9,8,True
1,31,7,9,True
1,32,5,10,False
1,33,3,11,False
1,34,1,12,False
2,20,26,0,False
2,21,24,1,False
2,22,22,2,False
2,23,20,3,False
2,24,18,4,False
2,25,16,5,False
2,26,14,6,True
2,27,12,7,True
2,28,10,8,True
2,29,8,9,True
2,30,6,10,True
2,31,4,11,False
2,32,2,12,False
2,33,0,13,False
3,18,27,0,False
3,19,25,1,False
3,20,23,2,False
3,21,21,3,False
3,22,19,4,False
3,23,17,5,False
3,24,15,6,True
3,25,13,7,True
3,26,11,8,True
3,27,9,9,True
3,28,7,10,True
3,29,5,11,True
3,30,3,12,False
3,31,1,13,False
4,16,28,0,False
4,17,26,1,False
4,18,24,2,False
4,19,22,3,False
4,20,20,4,False
4,21,18,5,False
4,22,16,6,True
4,23,14,7,True
4,24,12,8,True
4,25,10,9,True
4,26,8,10,True
4,27,6,11,True
4,28,4,12,True
4,29,2,13,False
4,30,0,14,False
5,14,29,0,False
5,15,27,1,False
5,16,25,2,False
5,17,23,3,False
5,18,21,4,False
5,19,19,5,False
5,20,17,6,True
5,21,15,7,True
5,22,13,8,True
5,23,11,9,True
5,24,9,10,True
5,25,7,11,True
5,26,5,12,True
5,27,3,13,True
5,28,1,14,False
6,12,30,0,False
6,13,28,1,False
6,14,26,2,False
6,15,24,3,False
6,16,22,4,False
6,17,20,5,False
6,18,18,6,True
6,19,16,7,True
6,20,14,8,True
6,21,12,9,True
6,22,10,10,True
6,23,8,11,True
6,24,6,12,True
6,25,4,13,True
6,26,2,14,True
6,27,0,15,False
7,10,31,0,False
7,11,29,1,False
7,12,27,2,False
7,13,25,3,False
7,14,23,4,False
7,15,21,5,False
7,16,19,6,True
7,17,17,7,True
7,18,15,8,True
7,19,13,9,True
7,20,11,10,True
7,21,9,11,True
7,22,7,12,True
7,23,5,13,True
7,24,3,14,True
7,25,1,15,True
8,8,32,0,False
8,9,30,1,False
8,10,28,2,False
8,11,26,3,False
8,12,24,4,False
8,13,22,5,False
8,14,20,6,True
8,15,18,7,True
8,16,16,8,True
8,17,14,9,True
8,18,12,10,True
8,19,10,11,True
8,20,8,12,True
8,21,6,13,True
8,22,4,14,True
8,23,2,15,True
8,24,0,16,True
9,6,33,0,False
9,7,31,1,False
9,8,29,2,False
9,9,27,3,False
9,10,25,4,False
9,11,23,5,False
9,12,21,6,True
9,13,19,7,True
9,14,17,8,True
9,15,15,9,True
9,16,13,10,True
9,17,11,11,True
9,18,9,12,True
9,19,7,13,True
9,20,5,14,True
9,21,3,15,True
9,22,1,16,True
10,4,34,0,False
10,5,32,1,False
10,6,30,2,False
10,7,28,3,False
10,8,26,4,False
10,9,24,5,False
10,10,22,6,True
10,11,20,7,True
10,12,18,8,True
10,13,16,9,True
10,14,14,10,True
10,15,12,11,True
10,16,10,12,True
10,17,8,13,True
10,18,6,14,True
10,19,4,15,True
10,20,2,16,True
10,21,0,17,True
11,2,35,0,False
11,3,33,1,False
11,4,31,2,False
11,5,29,3,False
11,6,27,4,False
11,7,25,5,False
11,8,23,6,False
11,9,21,7,True
11,10,19,8,True
11,11,17,9,True
11,12,15,10,True
11,13,13,11,True
11,14,11,12,True
11,15,9,13,True
11,16,7,14,True
11,17,5,15,True
11,18,3,16,True
11,19,1,17,True
12,0,36,0,False
12,1,34,1,False
12,2,32,2,False
12,3,30,3,False
12,4,28,4,False
12,5,26,5,False
12,6,24,6,False
12,7,22,7,False
12,8,20,8,True
12,9,18,9,True
12,10,16,10,True
12,11,14,11,True
12,12,12,12,True
12,13,10,13,True
12,14,8,14,True
12,15,6,15,True
12,16,4,16,True
12,17,2,17,True
12,18,0,18,True
13,0,33,2,False
13,1,31,3,False
13,2,29,4,False
13,3,27,5,False
13,4,25,6,False
13,5,23,7,False
13,6,21,8,False
13,7,19,9,True
13,8,17,10,True
13,9,15,11,True
13,10,13,12,True
13,11,11,13,True
13,12,9,14,True
13,13,7,15,True
13,14,5,16,True
13,15,3,17,True
13,16,1,18,True
14,0,30,4,False
14,1,28,5,False
14,2,26,6,False
14,3,24,7,False
14,4,22,8,False
14,5,20,9,False
14,6,18,10,True
14,7,16,11,True
14,8,14,12,True
14,9,12,13,True
14,10,10,14,True
14,11,8,15,True
14,12,6,16,True
14,13,4,17,True
14,14,2,18,True
14,15,0,19,False
15,0,27,6,False
15,1,25,7,False
15,2,23,8,False
15,3,21,9,False
15,4,19,10,False
15,5,17,11,True
15,6,15,12,True
15,7,13,13,True
15,8,11,14,True
15,9,9,15,True
15,10,7,16,True
15,11,5,17,True
15,12,3,18,True
15,13,1,19,False
16,0,24,8,False
16,1,22,9,False
16,2,20,10,False
16,3,18,11,False
16,4,16,12,True
16,5,14,13,True
16,6,12,14,True
16,7,10,15,True
16,8,8,16,True
16,9,6,17,True
16,10,4,18,True
16,11,2,19,False
16,12,0,20,False
17,0,21,10,False
17,1,19,11,False
17,2,17,12,False
17,3,15,13,True
17,4,13,14,True
17,5,11,15,True
17,6,9,16,True
17,7,7,17,True
17,8,5,18,True
17,9,3,19,False
17,10,1,20,False
18,0,18,12,False
18,1,16,13,False
18,2,14,14,True
18,3,12,15,True
18,4,10,16,True
18,5,8,17,True
18,6,6,18,True
18,7,4,19,False
18,8,2,20,False
18,9,0,21,False
19,0,15,14,False
19,1,13,15,True
19,2,11,16,True
19,3,9,17,True
19,4,7,18,True
19,5,5,19,False
19,6,3,20,False
19,7,1,21,False
20,0,12,16,True
20,1,10,17,True
20,2,8,18,True
20,3,6,19,False
20,4,4,20,False
20,5,2,21,False
20,6,0,22,False
21,0,9,18,True
21,1,7,19,False
21,2,5,20,False
21,3,3,21,False
21,4,1,22,False
22,0,6,20,False
22,1,4,21,False
22,2,2,22,False
22,3,0,23,False
23,0,3,22,False
23,1,1,23,False
24,0,0,24,False
