B4,B3,B2,B1,B0,Max Districts (10) Achievable?
0,0,36,0,0,False
0,1,34,1,0,False
0,2,32,2,0,False
0,2,33,0,1,False
0,3,30,3,0,False
0,3,31,1,1,False
0,4,28,4,0,False
0,4,29,2,1,False
0,4,30,0,2,False
0,5,26,5,0,False
0,5,27,3,1,False
0,5,28,1,2,False
0,6,24,6,0,False
0,6,25,4,1,False
0,6,26,2,2,False
0,6,27,0,3,False
0,7,22,7,0,False
0,7,23,5,1,False
0,7,24,3,2,False
0,7,25,1,3,False
0,8,20,8,0,False
0,8,21,6,1,False
0,8,22,4,2,False
0,8,23,2,3,False
0,8,24,0,4,False
0,9,18,9,0,False
0,9,19,7,1,False
0,9,20,5,2,False
0,9,21,3,3,False
0,9,22,1,4,False
0,10,16,10,0,False
0,10,17,8,1,False
0,10,18,6,2,False
0,10,19,4,3,False
0,10,20,2,4,True
0,10,21,0,5,True
0,11,14,11,0,False
0,11,15,9,1,False
0,11,16,7,2,False
0,11,17,5,3,False
0,11,18,3,4,True
0,11,19,1,5,True
0,12,12,12,0,False
0,12,13,10,1,False
0,12,14,8,2,False
0,12,15,6,3,False
0,12,16,4,4,True
0,12,17,2,5,True
0,12,18,0,6,True
0,13,10,13,0,False
0,13,11,11,1,False
0,13,12,9,2,False
0,13,13,7,3,False
0,13,14,5,4,True
0,13,15,3,5,True
0,13,16,1,6,True
0,14,8,14,0,False
0,14,9,12,1,False
0,14,10,10,2,False
0,14,11,8,3,False
0,14,12,6,4,True
0,14,13,4,5,True
0,14,14,2,6,True
0,14,15,0,7,False
0,15,6,15,0,False
0,15,7,13,1,False
0,15,8,11,2,False
0,15,9,9,3,False
0,15,10,7,4,True
0,15,11,5,5,True
0,15,12,3,6,True
0,15,13,1,7,False
0,16,4,16,0,False
0,16,5,14,1,False
0,16,6,12,2,False
0,16,7,10,3,False
0,16,8,8,4,True
0,16,9,6,5,True
0,16,10,4,6,True
0,16,11,2,7,False
0,16,12,0,8,False
0,17,2,17,0,False
0,17,3,15,1,False
0,17,4,13,2,False
0,17,5,11,3,False
0,17,6,9,4,True
0,17,7,7,5,True
0,17,8,5,6,True
0,17,9,3,7,False
0,17,10,1,8,False
0,18,0,18,0,False
0,18,1,16,1,False
0,18,2,14,2,False
0,18,3,12,3,False
0,18,4,10,4,True
0,18,5,8,5,True
0,18,6,6,6,True
0,18,7,4,7,False
0,18,8,2,8,False
0,18,9,0,9,False
0,19,0,15,2,False
0,19,1,13,3,False
0,19,2,11,4,True
0,19,3,9,5,True
0,19,4,7,6,True
0,19,5,5,7,False
0,19,6,3,8,False
0,19,7,1,9,False
0,20,0,12,4,True
0,20,1,10,5,True
0,20,2,8,6,True
0,20,3,6,7,False
0,20,4,4,8,False
0,20,5,2,9,False
0,20,6,0,10,False
0,21,0,9,6,True
0,21,1,7,7,False
0,21,2,5,8,False
0,21,3,3,9,False
0,21,4,1,10,False
0,22,0,6,8,False
0,22,1,4,9,False
0,22,2,2,10,False
0,22,3,0,11,False
0,23,0,3,10,False
0,23,1,1,11,False
0,24,0,0,12,False
1,0,33,2,0,False
1,0,34,0,1,False
1,1,31,3,0,False
1,1,32,1,1,False
1,2,29,4,0,False
1,2,30,2,1,False
1,2,31,0,2,False
1,3,27,5,0,False
1,3,28,3,1,False
1,3,29,1,2,False
1,4,25,6,0,False
1,4,26,4,1,False
1,4,27,2,2,False
1,4,28,0,3,False
1,5,23,7,0,False
1,5,24,5,1,False
1,5,25,3,2,False
1,5,26,1,3,False
1,6,21,8,0,False
1,6,22,6,1,False
1,6,23,4,2,False
1,6,24,2,3,False
1,6,25,0,4,False
1,7,19,9,0,False
1,7,20,7,1,False
1,7,21,5,2,False
1,7,22,3,3,False
1,7,23,1,4,False
1,8,17,10,0,False
1,8,18,8,1,False
1,8,19,6,2,False
1,8,20,4,3,False
1,8,21,2,4,False
1,8,22,0,5,False
1,9,15,11,0,False
1,9,16,9,1,False
1,9,17,7,2,False
1,9,18,5,3,False
1,9,19,3,4,True
1,9,20,1,5,True
1,10,13,12,0,False
1,10,14,10,1,False
1,10,15,8,2,False
1,10,16,6,3,False
1,10,17,4,4,True
1,10,18,2,5,True
1,10,19,0,6,True
1,11,11,13,0,False
1,11,12,11,1,False
1,11,13,9,2,False
1,11,14,7,3,False
1,11,15,5,4,True
1,11,16,3,5,True
1,11,17,1,6,True
1,12,9,14,0,False
1,12,10,12,1,False
1,12,11,10,2,False
1,12,12,8,3,False
1,12,13,6,4,True
1,12,14,4,5,True
1,12,15,2,6,True
1,12,16,0,7,True
1,13,7,15,0,False
1,13,8,13,1,False
1,13,9,11,2,False
1,13,10,9,3,False
1,13,11,7,4,True
1,13,12,5,5,True
1,13,13,3,6,True
1,13,14,1,7,True
1,14,5,16,0,False
1,14,6,14,1,False
1,14,7,12,2,False
1,14,8,10,3,False
1,14,9,8,4,True
1,14,10,6,5,True
1,14,11,4,6,True
1,14,12,2,7,True
1,14,13,0,8,False
1,15,3,17,0,False
1,15,4,15,1,False
1,15,5,13,2,False
1,15,6,11,3,False
1,15,7,9,4,True
1,15,8,7,5,True
1,15,9,5,6,True
1,15,10,3,7,True
1,15,11,1,8,False
1,16,1,18,0,False
1,16,2,16,1,False
1,16,3,14,2,False
1,16,4,12,3,False
1,16,5,10,4,True
1,16,6,8,5,True
1,16,7,6,6,True
1,16,8,4,7,True
1,16,9,2,8,False
1,16,10,0,9,False
1,17,0,17,1,False
1,17,1,15,2,False
1,17,2,13,3,False
1,17,3,11,4,True
1,17,4,9,5,True
1,17,5,7,6,True
1,17,6,5,7,True
1,17,7,3,8,False
1,17,8,1,9,False
1,18,0,14,3,False
1,18,1,12,4,True
1,18,2,10,5,True
1,18,3,8,6,True
1,18,4,6,7,True
1,18,5,4,8,False
1,18,6,2,9,False
1,18,7,0,10,False
1,19,0,11,5,True
1,19,1,9,6,True
1,19,2,7,7,True
1,19,3,5,8,False
1,19,4,3,9,False
1,19,5,1,10,False
1,20,0,8,7,True
1,20,1,6,8,False
1,20,2,4,9,False
1,20,3,2,10,False
1,20,4,0,11,False
1,21,0,5,9,False
1,21,1,3,10,False
1,21,2,1,11,False
1,22,0,2,11,False
1,22,1,0,12,False
2,0,30,4,0,False
2,0,31,2,1,False
2,0,32,0,2,False
2,1,28,5,0,False
2,1,29,3,1,False
2,1,30,1,2,False
2,2,26,6,0,False
2,2,27,4,1,False
2,2,28,2,2,False
2,2,29,0,3,False
2,3,24,7,0,False
2,3,25,5,1,False
2,3,26,3,2,False
2,3,27,1,3,False
2,4,22,8,0,False
2,4,23,6,1,False
2,4,24,4,2,False
2,4,25,2,3,False
2,4,26,0,4,False
2,5,20,9,0,False
2,5,21,7,1,False
2,5,22,5,2,False
2,5,23,3,3,False
2,5,24,1,4,False
2,6,18,10,0,False
2,6,19,8,1,False
2,6,20,6,2,False
2,6,21,4,3,False
2,6,22,2,4,False
2,6,23,0,5,False
2,7,16,11,0,False
2,7,17,9,1,False
2,7,18,7,2,False
2,7,19,5,3,False
2,7,20,3,4,False
2,7,21,1,5,False
2,8,14,12,0,False
2,8,15,10,1,False
2,8,16,8,2,False
2,8,17,6,3,False
2,8,18,4,4,True
2,8,19,2,5,True
2,8,20,0,6,True
2,9,12,13,0,False
2,9,13,11,1,False
2,9,14,9,2,False
2,9,15,7,3,False
2,9,16,5,4,True
2,9,17,3,5,True
2,9,18,1,6,True
2,10,10,14,0,False
2,10,11,12,1,False
2,10,12,10,2,False
2,10,13,8,3,False
2,10,14,6,4,True
2,10,15,4,5,True
2,10,16,2,6,True
2,10,17,0,7,True
2,11,8,15,0,False
2,11,9,13,1,False
2,11,10,11,2,False
2,11,11,9,3,False
2,11,12,7,4,True
2,11,13,5,5,True
2,11,14,3,6,True
2,11,15,1,7,True
2,12,6,16,0,False
2,12,7,14,1,False
2,12,8,12,2,False
2,12,9,10,3,False
2,12,10,8,4,True
2,12,11,6,5,True
2,12,12,4,6,True
2,12,13,2,7,True
2,12,14,0,8,True
2,13,4,17,0,False
2,13,5,15,1,False
2,13,6,13,2,False
2,13,7,11,3,False
2,13,8,9,4,True
2,13,9,7,5,True
2,13,10,5,6,True
2,13,11,3,7,True
2,13,12,1,8,True
2,14,2,18,0,False
2,14,3,16,1,False
2,14,4,14,2,False
2,14,5,12,3,False
2,14,6,10,4,True
2,14,7,8,5,True
2,14,8,6,6,True
2,14,9,4,7,True
2,14,10,2,8,True
2,14,11,0,9,False
2,15,0,19,0,False
2,15,1,17,1,False
2,15,2,15,2,False
2,15,3,13,3,False
2,15,4,11,4,True
2,15,5,9,5,True
2,15,6,7,6,True
2,15,7,5,7,True
2,15,8,3,8,True
2,15,9,1,9,False
2,16,0,16,2,False
2,16,1,14,3,False
2,16,2,12,4,True
2,16,3,10,5,True
2,16,4,8,6,True
2,16,5,6,7,True
2,16,6,4,8,True
2,16,7,2,9,False
2,16,8,0,10,False
2,17,0,13,4,False
2,17,1,11,5,True
2,17,2,9,6,True
2,17,3,7,7,True
2,17,4,5,8,True
2,17,5,3,9,False
2,17,6,1,10,False
2,18,0,10,6,True
2,18,1,8,7,True
2,18,2,6,8,True
2,18,3,4,9,False
2,18,4,2,10,False
2,18,5,0,11,False
2,19,0,7,8,True
2,19,1,5,9,False
2,19,2,3,10,False
2,19,3,1,11,False
2,20,0,4,10,False
2,20,1,2,11,False
2,20,2,0,12,False
2,21,0,1,12,False
3,0,27,6,0,False
3,0,28,4,1,False
3,0,29,2,2,False
3,0,30,0,3,False
3,1,25,7,0,False
3,1,26,5,1,False
3,1,27,3,2,False
3,1,28,1,3,False
3,2,23,8,0,False
3,2,24,6,1,False
3,2,25,4,2,False
3,2,26,2,3,False
3,2,27,0,4,False
3,3,21,9,0,False
3,3,22,7,1,False
3,3,23,5,2,False
3,3,24,3,3,False
3,3,25,1,4,False
3,4,19,10,0,False
3,4,20,8,1,False
3,4,21,6,2,False
3,4,22,4,3,False
3,4,23,2,4,False
3,4,24,0,5,False
3,5,17,11,0,False
3,5,18,9,1,False
3,5,19,7,2,False
3,5,20,5,3,False
3,5,21,3,4,False
3,5,22,1,5,False
3,6,15,12,0,False
3,6,16,10,1,False
3,6,17,8,2,False
3,6,18,6,3,False
3,6,19,4,4,False
3,6,20,2,5,False
3,6,21,0,6,False
3,7,13,13,0,False
3,7,14,11,1,False
3,7,15,9,2,False
3,7,16,7,3,False
3,7,17,5,4,True
3,7,18,3,5,True
3,7,19,1,6,True
3,8,11,14,0,False
3,8,12,12,1,False
3,8,13,10,2,False
3,8,14,8,3,False
3,8,15,6,4,True
3,8,16,4,5,True
3,8,17,2,6,True
3,8,18,0,7,True
3,9,9,15,0,False
3,9,10,13,1,False
3,9,11,11,2,False
3,9,12,9,3,False
3,9,13,7,4,True
3,9,14,5,5,True
3,9,15,3,6,True
3,9,16,1,7,True
3,10,7,16,0,False
3,10,8,14,1,False
3,10,9,12,2,False
3,10,10,10,3,False
3,10,11,8,4,True
3,10,12,6,5,True
3,10,13,4,6,True
3,10,14,2,7,True
3,10,15,0,8,True
3,11,5,17,0,False
3,11,6,15,1,False
3,11,7,13,2,False
3,11,8,11,3,False
3,11,9,9,4,True
3,11,10,7,5,True
3,11,11,5,6,True
3,11,12,3,7,True
3,11,13,1,8,True
3,12,3,18,0,False
3,12,4,16,1,False
3,12,5,14,2,False
3,12,6,12,3,False
3,12,7,10,4,True
3,12,8,8,5,True
3,12,9,6,6,True
3,12,10,4,7,True
3,12,11,2,8,True
3,12,12,0,9,True
3,13,1,19,0,False
3,13,2,17,1,False
3,13,3,15,2,False
3,13,4,13,3,False
3,13,5,11,4,True
3,13,6,9,5,True
3,13,7,7,6,True
3,13,8,5,7,True
3,13,9,3,8,True
3,13,10,1,9,True
3,14,0,18,1,False
3,14,1,16,2,False
3,14,2,14,3,False
3,14,3,12,4,True
3,14,4,10,5,True
3,14,5,8,6,True
3,14,6,6,7,True
3,14,7,4,8,True
3,14,8,2,9,True
3,14,9,0,10,False
3,15,0,15,3,False
3,15,1,13,4,False
3,15,2,11,5,True
3,15,3,9,6,True
3,15,4,7,7,True
3,15,5,5,8,True
3,15,6,3,9,True
3,15,7,1,10,False
3,16,0,12,5,False
3,16,1,10,6,True
3,16,2,8,7,True
3,16,3,6,8,True
3,16,4,4,9,True
3,16,5,2,10,False
3,16,6,0,11,False
3,17,0,9,7,True
3,17,1,7,8,True
3,17,2,5,9,True
3,17,3,3,10,False
3,17,4,1,11,False
3,18,0,6,9,True
3,18,1,4,10,False
3,18,2,2,11,False
3,18,3,0,12,False
3,19,0,3,11,False
3,19,1,1,12,False
3,20,0,0,13,False
4,0,24,8,0,False
4,0,25,6,1,False
4,0,26,4,2,False
4,0,27,2,3,False
4,0,28,0,4,False
4,1,22,9,0,False
4,1,23,7,1,False
4,1,24,5,2,False
4,1,25,3,3,False
4,1,26,1,4,False
4,2,20,10,0,False
4,2,21,8,1,False
4,2,22,6,2,False
4,2,23,4,3,False
4,2,24,2,4,False
4,2,25,0,5,False
4,3,18,11,0,False
4,3,19,9,1,False
4,3,20,7,2,False
4,3,21,5,3,False
4,3,22,3,4,False
4,3,23,1,5,False
4,4,16,12,0,False
4,4,17,10,1,False
4,4,18,8,2,False
4,4,19,6,3,False
4,4,20,4,4,False
4,4,21,2,5,False
4,4,22,0,6,False
4,5,14,13,0,False
4,5,15,11,1,False
4,5,16,9,2,False
4,5,17,7,3,False
4,5,18,5,4,False
4,5,19,3,5,False
4,5,20,1,6,False
4,6,12,14,0,False
4,6,13,12,1,False
4,6,14,10,2,False
4,6,15,8,3,False
4,6,16,6,4,True
4,6,17,4,5,True
4,6,18,2,6,True
