Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,458,1342,False
1,456,1343,False
2,454,1344,False
3,452,1345,False
4,450,1346,False
5,448,1347,False
6,446,1348,False
7,444,1349,False
8,442,1350,False
9,440,1351,False
10,438,1352,False
11,436,1353,False
12,434,1354,False
13,432,1355,False
14,430,1356,True
15,428,1357,True
16,426,1358,True
17,424,1359,True
18,422,1360,True
19,420,1361,True
20,418,1362,True
21,416,1363,True
22,414,1364,True
23,412,1365,True
24,410,1366,True
25,408,1367,True
26,406,1368,True
27,404,1369,True
28,402,1370,True
29,400,1371,True
30,398,1372,True
31,396,1373,True
32,394,1374,True
33,392,1375,True
34,390,1376,True
35,388,1377,True
36,386,1378,True
37,384,1379,True
38,382,1380,True
39,380,1381,True
40,378,1382,True
41,376,1383,True
42,374,1384,True
43,372,1385,True
44,370,1386,True
45,368,1387,True
46,366,1388,True
47,364,1389,True
48,362,1390,True
49,360,1391,True
50,358,1392,True
51,356,1393,True
52,354,1394,True
53,352,1395,True
54,350,1396,True
55,348,1397,True
56,346,1398,True
57,344,1399,True
58,342,1400,True
59,340,1401,True
60,338,1402,True
61,336,1403,True
62,334,1404,True
63,332,1405,True
64,330,1406,True
65,328,1407,True
66,326,1408,True
67,324,1409,True
68,322,1410,True
69,320,1411,True
70,318,1412,True
71,316,1413,True
72,314,1414,True
73,312,1415,True
74,310,1416,True
75,308,1417,True
76,306,1418,True
77,304,1419,True
78,302,1420,True
79,300,1421,True
80,298,1422,True
81,296,1423,True
82,294,1424,True
83,292,1425,True
84,290,1426,True
85,288,1427,True
86,286,1428,True
87,284,1429,True
88,282,1430,True
89,280,1431,True
90,278,1432,True
91,276,1433,True
92,274,1434,True
93,272,1435,True
94,270,1436,True
95,268,1437,True
96,266,1438,True
97,264,1439,True
98,262,1440,True
99,260,1441,True
100,258,1442,True
101,256,1443,True
102,254,1444,True
103,252,1445,True
104,250,1446,True
105,248,1447,True
106,246,1448,True
107,244,1449,True
108,242,1450,True
109,240,1451,True
110,238,1452,True
111,236,1453,True
112,234,1454,True
113,232,1455,True
114,230,1456,True
115,228,1457,True
116,226,1458,True
117,224,1459,True
118,222,1460,True
119,220,1461,True
120,218,1462,True
121,216,1463,True
122,214,1464,True
123,212,1465,True
124,210,1466,True
125,208,1467,True
126,206,1468,True
127,204,1469,True
128,202,1470,True
129,200,1471,True
130,198,1472,True
131,196,1473,True
132,194,1474,True
133,192,1475,True
134,190,1476,True
135,188,1477,True
136,186,1478,True
137,184,1479,True
138,182,1480,True
139,180,1481,True
140,178,1482,True
141,176,1483,True
142,174,1484,True
143,172,1485,True
144,170,1486,True
145,168,1487,True
146,166,1488,True
147,164,1489,True
148,162,1490,True
149,160,1491,True
150,158,1492,True
151,156,1493,True
152,154,1494,True
153,152,1495,True
154,150,1496,True
155,148,1497,True
156,146,1498,True
157,144,1499,True
158,142,1500,True
159,140,1501,True
160,138,1502,True
161,136,1503,True
162,134,1504,True
163,132,1505,True
164,130,1506,True
165,128,1507,True
166,126,1508,True
167,124,1509,True
168,122,1510,True
169,120,1511,True
170,118,1512,True
171,116,1513,True
172,114,1514,True
173,112,1515,True
174,110,1516,True
175,108,1517,True
176,106,1518,True
177,104,1519,True
178,102,1520,True
179,100,1521,True
180,98,1522,True
181,96,1523,True
182,94,1524,True
183,92,1525,True
184,90,1526,True
185,88,1527,True
186,86,1528,True
187,84,1529,True
188,82,1530,True
189,80,1531,True
190,78,1532,True
191,76,1533,True
192,74,1534,True
193,72,1535,True
194,70,1536,True
195,68,1537,True
196,66,1538,True
197,64,1539,True
198,62,1540,True
199,60,1541,True
200,58,1542,True
201,56,1543,True
202,54,1544,True
203,52,1545,True
204,50,1546,True
205,48,1547,True
206,46,1548,True
207,44,1549,True
208,42,1550,True
209,40,1551,True
210,38,1552,True
211,36,1553,True
212,34,1554,True
213,32,1555,True
214,30,1556,True
215,28,1557,True
216,26,1558,True
217,24,1559,True
218,22,1560,True
219,20,1561,True
220,18,1562,True
221,16,1563,True
222,14,1564,True
223,12,1565,True
224,10,1566,True
225,8,1567,True
226,6,1568,True
227,4,1569,True
228,2,1570,True
229,0,1571,True
